,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Financial Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2026-03-31,7429000000.0,7429000000.0,8157000000.0,56965000000.0,275381000000.0,454629000000.0,38668000000.0,275381000000.0,16703000000.0,414367000000.0,445790000000.0,414367000000.0,414367000000.0,-3228000000.0,-3228000000.0,302526000000.0,115069000000.0,115069000000.0,279861000000.0,143200000000.0,61481000000.0,27941000000.0,5652000000.0,2753000000.0,2899000000.0,48126000000.0,16703000000.0,31423000000.0,136661000000.0,24552000000.0,50924000000.0,50924000000.0,8839000000.0,8839000000.0,,,11270000000.0,41076000000.0,41076000000.0,3563000000.0,3563000000.0,37513000000.0,694228000000.0,518899000000.0,38599000000.0,0.0,33683000000.0,33683000000.0,10346000000.0,23337000000.0,,138986000000.0,19325000000.0,119661000000.0,307631000000.0,-111723000000.0,419354000000.0,15444000000.0,24403000000.0,197434000000.0,172260000000.0,9813000000.0,0.0,175329000000.0,35797000000.0,44000000.0,1219000000.0,,,,60041000000.0,60041000000.0,-794000000.0,60835000000.0,78228000000.0,46123000000.0,32105000000.0,19374000000.0,12731000000.0
2025-12-31,7428838066.0,7428838066.0,15966000000.0,57607000000.0,250964000000.0,431137000000.0,50185000000.0,250964000000.0,17345000000.0,390875000000.0,426300000000.0,390875000000.0,390875000000.0,-2702000000.0,-2702000000.0,280789000000.0,112788000000.0,112788000000.0,274427000000.0,144422000000.0,58852000000.0,27256000000.0,5544000000.0,2668000000.0,2876000000.0,52770000000.0,17345000000.0,35425000000.0,130005000000.0,24311000000.0,51376000000.0,51376000000.0,4837000000.0,4837000000.0,,,10103000000.0,39378000000.0,39378000000.0,2050000000.0,2050000000.0,37328000000.0,665302000000.0,485112000000.0,37770000000.0,0.0,21202000000.0,21202000000.0,1620000000.0,19582000000.0,,139911000000.0,20289000000.0,119622000000.0,286229000000.0,-104950000000.0,391179000000.0,14500000000.0,25103000000.0,177892000000.0,163986000000.0,9698000000.0,0.0,180190000000.0,33134000000.0,6000000.0,1059000000.0,,,,56535000000.0,56535000000.0,-729000000.0,57264000000.0,89456000000.0,65160000000.0,24296000000.0,14075000000.0,10221000000.0
2025-09-30,7433087554.0,7433087554.0,14359000000.0,60556000000.0,222343000000.0,406284000000.0,54070000000.0,222343000000.0,17348000000.0,363076000000.0,398452000000.0,363076000000.0,363076000000.0,-2761000000.0,-2761000000.0,254873000000.0,110964000000.0,110964000000.0,273275000000.0,138279000000.0,53588000000.0,26569000000.0,5398000000.0,2546000000.0,2852000000.0,52724000000.0,17348000000.0,35376000000.0,134996000000.0,22741000000.0,58987000000.0,58987000000.0,7832000000.0,7832000000.0,,,9201000000.0,36235000000.0,36235000000.0,3655000000.0,3655000000.0,32580000000.0,636351000000.0,447285000000.0,39435000000.0,1182000000.0,10283000000.0,10283000000.0,2510000000.0,7773000000.0,,140733000000.0,21236000000.0,119497000000.0,255652000000.0,-98880000000.0,354532000000.0,13610000000.0,24791000000.0,154248000000.0,152433000000.0,9450000000.0,0.0,189066000000.0,33030000000.0,7000000.0,1130000000.0,,,,52894000000.0,52894000000.0,-687000000.0,53581000000.0,102005000000.0,73156000000.0,28849000000.0,17483000000.0,11366000000.0
2025-06-30,7434158655.0,7434158655.0,12909000000.0,60588000000.0,201366000000.0,386630000000.0,49913000000.0,201366000000.0,17437000000.0,343479000000.0,383631000000.0,343479000000.0,343479000000.0,-3347000000.0,-3347000000.0,237731000000.0,109095000000.0,109095000000.0,275524000000.0,134306000000.0,45186000000.0,25986000000.0,5545000000.0,2710000000.0,2835000000.0,57589000000.0,17437000000.0,40152000000.0,141218000000.0,25020000000.0,64555000000.0,64555000000.0,2999000000.0,2999000000.0,2999000000.0,0.0,13709000000.0,34935000000.0,34935000000.0,7211000000.0,7211000000.0,27724000000.0,619003000000.0,427872000000.0,40565000000.0,272000000.0,15133000000.0,2460000000.0,2460000000.0,,12673000000.0,142113000000.0,22604000000.0,119509000000.0,229789000000.0,-93653000000.0,323442000000.0,12117000000.0,24823000000.0,139243000000.0,137921000000.0,9338000000.0,0.0,191131000000.0,25723000000.0,10000000.0,938000000.0,,,,69905000000.0,69905000000.0,-944000000.0,70849000000.0,94555000000.0,64313000000.0,30242000000.0,18531000000.0,11711000000.0
2025-03-31,7433982235.0,7433982235.0,14053000000.0,60567000000.0,178594000000.0,364772000000.0,42438000000.0,178594000000.0,17686000000.0,321891000000.0,361773000000.0,321891000000.0,321891000000.0,-4833000000.0,-4833000000.0,219759000000.0,106965000000.0,106965000000.0,240733000000.0,126527000000.0,38536000000.0,25061000000.0,5362000000.0,2840000000.0,2522000000.0,57568000000.0,17686000000.0,39882000000.0,114206000000.0,22937000000.0,44636000000.0,44636000000.0,2999000000.0,2999000000.0,2999000000.0,0.0,10579000000.0,33055000000.0,33055000000.0,6805000000.0,6805000000.0,26250000000.0,562624000000.0,405980000000.0,38234000000.0,273000000.0,15762000000.0,2275000000.0,2275000000.0,,13487000000.0,143297000000.0,23968000000.0,119329000000.0,208414000000.0,-87074000000.0,295488000000.0,,295488000000.0,,,,,156644000000.0,24478000000.0,6000000.0,848000000.0,508000000.0,13000000.0,327000000.0,51700000000.0,51700000000.0,-695000000.0,52395000000.0,79612000000.0,50784000000.0,28828000000.0,18148000000.0,10680000000.0
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5248000000.0,0.0,,,,,,,,,,,,,,,13304000000.0,,,,,,,,,,,,,,,,,557000000.0,7000000.0,345000000.0,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2249000000.0,0.0,,,,,,,,,,,,,,,14278000000.0,,,,,,,,,,,,,,,,,1127000000.0,11000000.0,488000000.0,,,,,,,,,
