Date,Revenue,NetIncome,TotalAssets,TotalLiabilities,OperatingCashFlow,CapitalExpenditures
2024-03-06,10133000000.0,944000000.0,47818000000.0,,,
2024-03-07,10133000000.0,944000000.0,47818000000.0,,,
2024-03-08,10133000000.0,944000000.0,47818000000.0,,,
2024-03-09,10133000000.0,944000000.0,47818000000.0,,,
2024-03-10,10133000000.0,944000000.0,47818000000.0,,,
2024-03-11,10133000000.0,944000000.0,47818000000.0,,,
2024-03-12,10133000000.0,944000000.0,47818000000.0,,,
2024-03-13,10133000000.0,944000000.0,47818000000.0,,,
2024-03-14,10133000000.0,944000000.0,47818000000.0,,,
2024-03-15,10133000000.0,944000000.0,47818000000.0,,,
2024-03-16,10133000000.0,944000000.0,47818000000.0,,,
2024-03-17,10133000000.0,944000000.0,47818000000.0,,,
2024-03-18,10133000000.0,944000000.0,47818000000.0,,,
2024-03-19,10133000000.0,944000000.0,47818000000.0,,,
2024-03-20,10133000000.0,944000000.0,47818000000.0,,,
2024-03-21,10133000000.0,944000000.0,47818000000.0,,,
2024-03-22,10133000000.0,944000000.0,47818000000.0,,,
2024-03-23,10133000000.0,944000000.0,47818000000.0,,,
2024-03-24,10133000000.0,944000000.0,47818000000.0,,,
2024-03-25,10133000000.0,944000000.0,47818000000.0,,,
2024-03-26,10133000000.0,944000000.0,47818000000.0,,,
2024-03-27,10133000000.0,944000000.0,47818000000.0,,,
2024-03-28,10133000000.0,944000000.0,47818000000.0,,,
2024-03-29,10133000000.0,944000000.0,47818000000.0,,,
2024-03-30,10133000000.0,944000000.0,47818000000.0,,,
2024-03-31,10133000000.0,944000000.0,47818000000.0,,,
2024-04-01,10218000000.0,940000000.0,47670000000.0,,,
2024-04-02,10218000000.0,940000000.0,47670000000.0,,,
2024-04-03,10218000000.0,940000000.0,47670000000.0,,,
2024-04-04,10218000000.0,940000000.0,47670000000.0,,,
2024-04-05,10218000000.0,940000000.0,47670000000.0,,,
2024-04-06,10218000000.0,940000000.0,47670000000.0,,,
2024-04-07,10218000000.0,940000000.0,47670000000.0,,,
2024-04-08,10218000000.0,940000000.0,47670000000.0,,,
2024-04-09,10218000000.0,940000000.0,47670000000.0,,,
2024-04-10,10218000000.0,940000000.0,47670000000.0,,,
2024-04-11,10218000000.0,940000000.0,47670000000.0,,,
2024-04-12,10218000000.0,940000000.0,47670000000.0,,,
2024-04-13,10218000000.0,940000000.0,47670000000.0,,,
2024-04-14,10218000000.0,940000000.0,47670000000.0,,,
2024-04-15,10218000000.0,940000000.0,47670000000.0,,,
2024-04-16,10218000000.0,940000000.0,47670000000.0,,,
2024-04-17,10218000000.0,940000000.0,47670000000.0,,,
2024-04-18,10218000000.0,940000000.0,47670000000.0,,,
2024-04-19,10218000000.0,940000000.0,47670000000.0,,,
2024-04-20,10218000000.0,940000000.0,47670000000.0,,,
2024-04-21,10218000000.0,940000000.0,47670000000.0,,,
2024-04-22,10218000000.0,940000000.0,47670000000.0,,,
2024-04-23,10218000000.0,940000000.0,47670000000.0,,,
2024-04-24,10218000000.0,940000000.0,47670000000.0,,,
2024-04-25,10218000000.0,940000000.0,47670000000.0,,,
2024-04-26,10218000000.0,940000000.0,47670000000.0,,,
2024-04-27,10218000000.0,940000000.0,47670000000.0,,,
2024-04-28,10218000000.0,940000000.0,47670000000.0,,,
2024-04-29,10218000000.0,940000000.0,47670000000.0,,,
2024-04-30,10218000000.0,940000000.0,47670000000.0,,,
2024-05-01,10218000000.0,940000000.0,47670000000.0,,,
2024-05-02,10218000000.0,940000000.0,47670000000.0,,,
2024-05-03,10218000000.0,940000000.0,47670000000.0,,,
2024-05-04,10218000000.0,940000000.0,47670000000.0,,,
2024-05-05,10218000000.0,940000000.0,47670000000.0,,,
2024-05-06,10218000000.0,940000000.0,47670000000.0,,,
2024-05-07,10218000000.0,940000000.0,47670000000.0,,,
2024-05-08,10218000000.0,940000000.0,47670000000.0,,,
2024-05-09,10218000000.0,940000000.0,47670000000.0,,,
2024-05-10,10218000000.0,940000000.0,47670000000.0,,,
2024-05-11,10218000000.0,940000000.0,47670000000.0,,,
2024-05-12,10218000000.0,940000000.0,47670000000.0,,,
2024-05-13,10218000000.0,940000000.0,47670000000.0,,,
2024-05-14,10218000000.0,940000000.0,47670000000.0,,,
2024-05-15,10218000000.0,940000000.0,47670000000.0,,,
2024-05-16,10218000000.0,940000000.0,47670000000.0,,,
2024-05-17,10218000000.0,940000000.0,47670000000.0,,,
2024-05-18,10218000000.0,940000000.0,47670000000.0,,,
2024-05-19,10218000000.0,940000000.0,47670000000.0,,,
2024-05-20,10218000000.0,940000000.0,47670000000.0,,,
2024-05-21,10218000000.0,940000000.0,47670000000.0,,,
2024-05-22,10218000000.0,940000000.0,47670000000.0,,,
2024-05-23,10218000000.0,940000000.0,47670000000.0,,,
2024-05-24,10218000000.0,940000000.0,47670000000.0,,,
2024-05-25,10218000000.0,940000000.0,47670000000.0,,,
2024-05-26,10218000000.0,940000000.0,47670000000.0,,,
2024-05-27,10218000000.0,940000000.0,47670000000.0,,,
2024-05-28,10218000000.0,940000000.0,47670000000.0,,,
2024-05-29,10218000000.0,940000000.0,47670000000.0,,,
2024-05-30,10218000000.0,940000000.0,47670000000.0,,,
2024-05-31,10218000000.0,940000000.0,47670000000.0,,,
2024-06-01,10218000000.0,940000000.0,47670000000.0,,,
2024-06-02,10218000000.0,940000000.0,47670000000.0,,,
2024-06-03,10218000000.0,940000000.0,47670000000.0,,,
2024-06-04,10218000000.0,940000000.0,47670000000.0,,,
2024-06-05,10218000000.0,940000000.0,47670000000.0,,,
2024-06-06,10218000000.0,940000000.0,47670000000.0,,,
2024-06-07,10218000000.0,940000000.0,47670000000.0,,,
2024-06-08,10218000000.0,940000000.0,47670000000.0,,,
2024-06-09,10218000000.0,940000000.0,47670000000.0,,,
2024-06-10,10218000000.0,940000000.0,47670000000.0,,,
2024-06-11,10218000000.0,940000000.0,47670000000.0,,,
2024-06-12,10218000000.0,940000000.0,47670000000.0,,,
2024-06-13,10218000000.0,940000000.0,47670000000.0,,,
2024-06-14,10218000000.0,940000000.0,47670000000.0,,,
2024-06-15,10218000000.0,940000000.0,47670000000.0,,,
2024-06-16,10218000000.0,940000000.0,47670000000.0,,,
2024-06-17,10218000000.0,940000000.0,47670000000.0,,,
2024-06-18,10218000000.0,940000000.0,47670000000.0,,,
2024-06-19,10218000000.0,940000000.0,47670000000.0,,,
2024-06-20,10218000000.0,940000000.0,47670000000.0,,,
2024-06-21,10218000000.0,940000000.0,47670000000.0,,,
2024-06-22,10218000000.0,940000000.0,47670000000.0,,,
2024-06-23,10218000000.0,940000000.0,47670000000.0,,,
2024-06-24,10218000000.0,940000000.0,47670000000.0,,,
2024-06-25,10218000000.0,940000000.0,47670000000.0,,,
2024-06-26,10218000000.0,940000000.0,47670000000.0,,,
2024-06-27,10218000000.0,940000000.0,47670000000.0,,,
2024-06-28,10218000000.0,940000000.0,47670000000.0,,,
2024-06-29,10218000000.0,940000000.0,47670000000.0,,,
2024-06-30,10218000000.0,940000000.0,47670000000.0,,,
2024-07-01,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-02,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-03,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-04,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-05,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-06,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-07,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-08,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-09,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-10,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-11,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-12,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-13,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-14,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-15,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-16,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-17,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-18,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-19,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-20,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-21,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-22,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-23,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-24,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-25,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-26,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-27,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-28,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-29,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-30,9996000000.0,1026000000.0,48289000000.0,,,
2024-07-31,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-01,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-02,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-03,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-04,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-05,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-06,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-07,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-08,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-09,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-10,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-11,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-12,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-13,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-14,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-15,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-16,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-17,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-18,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-19,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-20,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-21,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-22,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-23,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-24,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-25,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-26,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-27,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-28,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-29,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-30,9996000000.0,1026000000.0,48289000000.0,,,
2024-08-31,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-01,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-02,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-03,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-04,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-05,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-06,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-07,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-08,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-09,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-10,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-11,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-12,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-13,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-14,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-15,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-16,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-17,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-18,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-19,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-20,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-21,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-22,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-23,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-24,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-25,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-26,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-27,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-28,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-29,9996000000.0,1026000000.0,48289000000.0,,,
2024-09-30,9996000000.0,1026000000.0,48289000000.0,,,
2024-10-01,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-02,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-03,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-04,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-05,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-06,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-07,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-08,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-09,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-10,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-11,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-12,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-13,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-14,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-15,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-16,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-17,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-18,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-19,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-20,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-21,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-22,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-23,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-24,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-25,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-26,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-27,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-28,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-29,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-30,10686000000.0,1264000000.0,49359000000.0,,,
2024-10-31,10686000000.0,1264000000.0,49359000000.0,,,
2024-11-01,10686000000.0,1264000000.0,49359000000.0,,,
2024-11-02,10686000000.0,1264000000.0,49359000000.0,,,
2024-11-03,10686000000.0,1264000000.0,49359000000.0,,,
2024-11-04,10686000000.0,1264000000.0,49359000000.0,,,
2024-11-05,10686000000.0,1264000000.0,49359000000.0,,,
2024-11-06,10686000000.0,1264000000.0,49359000000.0,,,
2024-11-07,10686000000.0,1264000000.0,49359000000.0,,,
2024-11-08,10686000000.0,1264000000.0,49359000000.0,,,
2024-11-09,10686000000.0,1264000000.0,49359000000.0,,,
2024-11-10,10686000000.0,1264000000.0,49359000000.0,,,
2024-11-11,10686000000.0,1264000000.0,49359000000.0,,,
2024-11-12,10686000000.0,1264000000.0,49359000000.0,,,
2024-11-13,10686000000.0,1264000000.0,49359000000.0,,,
2024-11-14,10686000000.0,1264000000.0,49359000000.0,,,
