year,report,account,fs_type,current,previous
2022,사업보고서,유동자산,,218470581000000.0,218163185000000.0
2022,사업보고서,현금및현금성자산,,49680710000000.0,39031415000000.0
2022,사업보고서,단기금융상품,,65102886000000.0,81708986000000.0
2022,사업보고서,단기상각후원가금융자산,,414610000000.0,3369034000000.0
2022,사업보고서,단기당기손익-공정가치금융자산,,29080000000.0,40757000000.0
2022,사업보고서,매출채권,,35721563000000.0,40713415000000.0
2022,사업보고서,미수금,,6149209000000.0,4497257000000.0
2022,사업보고서,선급비용,,2867823000000.0,2336252000000.0
2022,사업보고서,재고자산,,52187866000000.0,41384404000000.0
2022,사업보고서,기타유동자산,,6316834000000.0,5081665000000.0
2022,사업보고서,매각예정분류자산,,0.0,0.0
2022,사업보고서,비유동자산,,229953926000000.0,208457973000000.0
2022,사업보고서,기타포괄손익-공정가치금융자산,,11397012000000.0,13965839000000.0
2022,사업보고서,당기손익-공정가치금융자산,,1405468000000.0,1525344000000.0
2022,사업보고서,관계기업 및 공동기업 투자,,10893869000000.0,8932251000000.0
2022,사업보고서,유형자산,,168045388000000.0,149928539000000.0
2022,사업보고서,무형자산,,20217754000000.0,20236244000000.0
2022,사업보고서,순확정급여자산,,5851972000000.0,2809590000000.0
2022,사업보고서,이연법인세자산,,5101318000000.0,4261214000000.0
2022,사업보고서,기타비유동자산,,7041145000000.0,6798952000000.0
2022,사업보고서,자산총계,,448424507000000.0,426621158000000.0
2022,사업보고서,유동부채,,78344852000000.0,88117133000000.0
2022,사업보고서,매입채무,,10644686000000.0,13453351000000.0
2022,사업보고서,단기차입금,,5147315000000.0,13687793000000.0
2022,사업보고서,미지급금,,17592366000000.0,15584866000000.0
2022,사업보고서,선수금,,1314934000000.0,1224812000000.0
2022,사업보고서,예수금,,1298244000000.0,1294052000000.0
2022,사업보고서,미지급비용,,29211487000000.0,27928031000000.0
2022,사업보고서,당기법인세부채,,4250397000000.0,6749149000000.0
2022,사업보고서,유동성장기부채,,1089162000000.0,1329968000000.0
2022,사업보고서,충당부채,,5844907000000.0,5372872000000.0
2022,사업보고서,기타유동부채,,1951354000000.0,1492239000000.0
2022,사업보고서,매각예정분류부채,,0.0,0.0
2022,사업보고서,비유동부채,,15330051000000.0,33604094000000.0
2022,사업보고서,사채,,536093000000.0,508232000000.0
2022,사업보고서,장기차입금,,3560672000000.0,2866156000000.0
2022,사업보고서,장기미지급금,,2753305000000.0,2991440000000.0
2022,사업보고서,순확정급여부채,,268370000000.0,465884000000.0
2022,사업보고서,이연법인세부채,,5111332000000.0,23198205000000.0
2022,사업보고서,장기충당부채,,1928518000000.0,2306994000000.0
2022,사업보고서,기타비유동부채,,1171761000000.0,1267183000000.0
2022,사업보고서,부채총계,,93674903000000.0,121721227000000.0
2022,사업보고서,지배기업 소유주지분,,345186142000000.0,296237697000000.0
2022,사업보고서,자본금,,897514000000.0,897514000000.0
2022,사업보고서,우선주자본금,,119467000000.0,119467000000.0
2022,사업보고서,보통주자본금,,778047000000.0,778047000000.0
2022,사업보고서,주식발행초과금,,4403893000000.0,4403893000000.0
2022,사업보고서,이익잉여금(결손금),,337946407000000.0,293064763000000.0
