Price,Close,High,Low,Open,Volume
Ticker,PLD,PLD,PLD,PLD,PLD
Date,,,,,
2000-05-19,8.707728385925293,8.80556803071097,8.609888741139615,8.80556803071097,485500
2000-05-22,8.707728385925293,8.78110811951455,8.609888741139615,8.732188297121711,271400
2000-05-23,8.805563926696777,8.830023826493157,8.609884728325738,8.707724327511258,308700
2000-05-24,8.781099319458008,8.830019092825461,8.75663943277428,8.75663943277428,245400
2000-05-25,8.781099319458008,8.805559206141735,8.6832597727231,8.732179546090553,39100
2000-05-26,8.83002758026123,8.83002758026123,8.78110775987197,8.805567670066601,16300
2000-05-30,8.805563926696777,8.830023826493157,8.781104026900397,8.830023826493157,46300
2000-05-31,8.805563926696777,8.830023826493157,8.781104026900397,8.805563926696777,43800
2000-06-01,8.781099319458008,8.830019092825461,8.75663943277428,8.830019092825461,83400
2000-06-02,8.781099319458008,8.805559206141735,8.75663943277428,8.781099319458008,78200
2000-06-05,8.781099319458008,8.830019092825461,8.75663943277428,8.830019092825461,81100
2000-06-06,8.83002758026123,8.83002758026123,8.78110775987197,8.78110775987197,142600
2000-06-07,8.87894058227539,8.95232025650907,8.854480690864163,8.854480690864163,127600
2000-06-08,8.952329635620117,8.952329635620117,8.90340980154569,8.90340980154569,124100
2000-06-09,8.927863121032715,8.952323019994449,8.927863121032715,8.927863121032715,107900
2000-06-12,8.952329635620117,8.97678955265733,8.90340980154569,8.952329635620117,159700
2000-06-13,9.00124740600586,9.00124740600586,8.952327583147131,8.976787494576495,309000
2000-06-14,9.074626922607422,9.099086833450029,8.976787279236992,9.0012471900796,623700
2000-06-15,9.074626922607422,9.099086833450029,9.025707100922206,9.025707100922206,151200
2000-06-16,9.025704383850098,9.14800390124644,9.00124448037083,9.099084094287903,345300
2000-06-19,9.050164222717285,9.12354393263121,9.025704319412643,9.050164222717285,43900
2000-06-20,9.148006439208984,9.148006439208984,9.074626708413192,9.099086618678456,72200
2000-06-21,9.148006439208984,9.148006439208984,9.099086618678456,9.099086618678456,43600
2000-06-22,9.196924209594727,9.196924209594727,9.074624685530967,9.148004399969222,74300
2000-06-23,9.148006439208984,9.196926259739515,9.074626708413192,9.196926259739515,99900
