Price,Close,High,Low,Open,Volume
Ticker,RTX,RTX,RTX,RTX,RTX
Date,,,,,
1962-04-02,0.09203791618347168,0.09227452868147529,0.09132805287437215,0.0,228816
1962-04-03,0.08990849554538727,0.0918013097822512,0.08943525326353204,0.0,205934
1962-04-04,0.08777916431427002,0.09061845787852842,0.08754254289259998,0.0,320342
1962-04-05,0.08801572769880295,0.08825234035941061,0.08517657368732719,0.0,488141
1962-04-06,0.08517653495073318,0.0875424453549537,0.08517653495073318,0.0,175426
1962-04-09,0.08517653495073318,0.0875424453549537,0.08517653495073318,0.0,175426
1962-04-10,0.08517653495073318,0.08612286469229513,0.08446667147663559,0.0,228816
1962-04-11,0.08588622510433197,0.08683270083350227,0.08470326597207363,0.0,442378
1962-04-12,0.08517653495073318,0.08588625213929416,0.08399342916057051,0.0,266952
1962-04-13,0.08801572769880295,0.08801572769880295,0.08517657368732719,0.0,327970
1962-04-16,0.08683271706104279,0.08801567641437588,0.08659609593327258,0.0,282206
1962-04-17,0.08659615367650986,0.08706939624761345,0.08659615367650986,0.0,99154
1962-04-18,0.08777916431427002,0.088962262817579,0.08730606775662958,0.0,152544
1962-04-19,0.08825235813856125,0.08825235813856125,0.08706940646266907,0.0,122035
1962-04-23,0.09038184583187103,0.09038184583187103,0.08754255197310198,0.0,358478
1962-04-24,0.09061837196350098,0.09180133166459069,0.0899085169765436,0.0,282206
1962-04-25,0.08659615367650986,0.08990855049796787,0.08612291110540626,0.0,274579
1962-04-26,0.08706936240196228,0.08872555586637673,0.08706936240196228,0.0,129662
1962-04-27,0.08706936240196228,0.08848893467280446,0.08659612001481773,0.0,198307
1962-04-30,0.08517653495073318,0.08659610700836019,0.08470329263466812,0.0,358478
1962-05-01,0.08635956794023514,0.08635956794023514,0.0839935090013982,0.0,244070
1962-05-02,0.08943524211645126,0.08990848433932228,0.08683271106670629,0.0,488141
1962-05-03,0.08990849554538727,0.08990849554538727,0.08801568130852333,0.0,228816
1962-05-04,0.08896219730377197,0.08896219730377197,0.08777909967172327,0.0,259325
1962-05-07,0.08848898112773895,0.08919884508112007,0.08848898112773895,0.0,343224
1962-05-08,0.09014513343572617,0.09038175464320646,0.08872556108144505,0.0,572040
1962-05-09,0.08896219730377197,0.08990853600784689,0.08825233356152186,0.0,419496
1962-05-10,0.08777916431427002,0.088962262817579,0.08754254289259998,0.0,320342
1962-05-11,0.08612287044525146,0.0884889272930598,0.08612287044525146,0.0,335597
1962-05-14,0.08971136808395386,0.08971136808395384,0.08564442713932718,0.0,511022
1962-05-15,0.09042897075414658,0.09186446352201687,0.08995061817555106,0.0,480514
1962-05-16,0.09066816419363022,0.09162515587242366,0.0904289140987728,0.0,266952
1962-05-17,0.0901898443698883,0.09162518884409494,0.08803674935282416,0.0,411869
1962-05-18,0.09258192777633667,0.09306042754966147,0.09018973343171541,0.0,640685
1962-05-21,0.0918644368648529,0.09329978130530737,0.09090744486418594,0.0,228816
