,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Preferred Stock Dividends,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2026-03-31,4400000.0,0.4,-1175000000.0,11000000.0,11000000.0,-4276000000.0,2442000000.0,2388000000.0,-1164000000.0,-3606000000.0,-451000000.0,664000000.0,213000000.0,-4282600000.0,-4276000000.0,6648000000.0,-1943000000.0,10607000000.0,10607000000.0,-0.41,-0.41,-4382000000.0,-4382000000.0,-565000000.0,671000000.0,-4276000000.0,-4276000000.0,-4276000000.0,6000000.0,-4270000000.0,-1865000000.0,-1876000000.0,11000000.0,0.0,-11000000.0,-451000000.0,664000000.0,213000000.0,-1954000000.0,4260000000.0,3514000000.0,746000000.0,2306000000.0,2388000000.0,4694000000.0,4694000000.0
2025-03-31,-5880000.0,0.21,1404000000.0,-28000000.0,-28000000.0,-528000000.0,1443000000.0,1962000000.0,1376000000.0,-67000000.0,-330000000.0,447000000.0,117000000.0,-505880000.0,-528000000.0,4012000000.0,27000000.0,10607000000.0,10607000000.0,-0.049778,-0.049778,-528000000.0,-528000000.0,,,-528000000.0,-528000000.0,-528000000.0,14000000.0,-514000000.0,-239000000.0,-211000000.0,-28000000.0,24000000.0,4000000.0,-330000000.0,447000000.0,117000000.0,55000000.0,2050000000.0,1557000000.0,493000000.0,2105000000.0,1962000000.0,4067000000.0,4067000000.0
