,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2025-12-31,13075865175.0,13075865175.0,,23318000000.0,-12410000000.0,25469000000.0,9552000000.0,26342000000.0,422000000.0,2573000000.0,38752000000.0,63293000000.0,41325000000.0,41325000000.0,1898000000.0,1898000000.0,-37035000000.0,37706000000.0,38756000000.0,4000000.0,38752000000.0,50754000000.0,29354000000.0,1381000000.0,38752000000.0,6005000000.0,6005000000.0,21968000000.0,21968000000.0,21400000000.0,846000000.0,6111000000.0,6111000000.0,1350000000.0,422000000.0,928000000.0,928000000.0,13093000000.0,738000000.0,416000000.0,12355000000.0,563000000.0,11792000000.0,92079000000.0,61116000000.0,2130000000.0,141000000.0,141000000.0,14983000000.0,3174000000.0,11809000000.0,43862000000.0,-12701000000.0,56563000000.0,784000000.0,4604000000.0,26914000000.0,19981000000.0,4280000000.0,0.0,30952000000.0,590000000.0,182000000.0,597000000.0,2416000000.0,583000000.0,803000000.0,1030000000.0,2420000000.0,223000000.0,618000000.0,1579000000.0,-39000000.0,1618000000.0,24747000000.0,0.0,24747000000.0,21339000000.0,3408000000.0
2024-12-31,13075865175.0,13075865175.0,2408000000.0,14175000000.0,-10222000000.0,18656000000.0,4317000000.0,10719000000.0,382000000.0,4863000000.0,20941000000.0,39225000000.0,25804000000.0,25804000000.0,1093000000.0,1093000000.0,-32098000000.0,35865000000.0,20944000000.0,3000000.0,20941000000.0,31258000000.0,19467000000.0,1365000000.0,20941000000.0,4681000000.0,4681000000.0,13421000000.0,13421000000.0,11791000000.0,530000000.0,5498000000.0,5498000000.0,754000000.0,382000000.0,372000000.0,372000000.0,5009000000.0,484000000.0,118000000.0,4525000000.0,112000000.0,4413000000.0,57062000000.0,40950000000.0,2336000000.0,696000000.0,696000000.0,15085000000.0,3956000000.0,11129000000.0,22833000000.0,-7540000000.0,30373000000.0,1019000000.0,3007000000.0,8802000000.0,14511000000.0,3034000000.0,0.0,16108000000.0,371000000.0,23000000.0,0.0,2003000000.0,350000000.0,730000000.0,923000000.0,1526000000.0,314000000.0,160000000.0,1052000000.0,-119000000.0,1171000000.0,12185000000.0,800000000.0,11385000000.0,7520000000.0,3865000000.0
