,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Liabilities,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2026-03-31,2397133000.0,2397133000.0,211977000.0,8449663000.0,8449663000.0,8168755000.0,8449663000.0,211977000.0,8449663000.0,8449663000.0,8556281000.0,106618000.0,8449663000.0,601000.0,601000.0,-2691863000.0,11138528000.0,2397000.0,2397000.0,1642902000.0,259953000.0,5673000.0,42303000.0,42303000.0,211977000.0,211977000.0,1382949000.0,886987000.0,886987000.0,,,495962000.0,336906000.0,159056000.0,89737000.0,69319000.0,10199183000.0,647479000.0,362773000.0,284706000.0,,284706000.0,,,284706000.0,,,9551704000.0,119703000.0,1405588000.0,1405588000.0,,,8026413000.0,5734782000.0,2291631000.0
2025-12-31,2391192000.0,2391192000.0,229338000.0,7387268000.0,7387268000.0,7182593000.0,7387268000.0,229338000.0,7387268000.0,7387268000.0,7488011000.0,100743000.0,7387268000.0,13942000.0,13942000.0,-3562390000.0,10933325000.0,2391000.0,2391000.0,1412381000.0,236800000.0,7092000.0,46234000.0,46234000.0,183474000.0,183474000.0,1175581000.0,766029000.0,766029000.0,45864000.0,45864000.0,363688000.0,355624000.0,8064000.0,,8064000.0,8900392000.0,542218000.0,290153000.0,252065000.0,-149091000.0,401156000.0,98302000.0,9999000.0,200105000.0,92750000.0,0.0,8358174000.0,139066000.0,1042065000.0,1042065000.0,,,7177043000.0,5753247000.0,1423796000.0
2025-09-30,2383314028.0,2383314028.0,235436000.0,6590457000.0,6590457000.0,6405753000.0,6590457000.0,235436000.0,6590457000.0,6590457000.0,6688269000.0,97812000.0,6590457000.0,11537000.0,11537000.0,-4171066000.0,10747603000.0,2383000.0,2383000.0,1425691000.0,245288000.0,10652000.0,45471000.0,45471000.0,189165000.0,189165000.0,1180403000.0,684892000.0,684892000.0,46271000.0,46271000.0,449240000.0,381737000.0,67503000.0,,67503000.0,8113960000.0,527804000.0,277783000.0,250021000.0,-142790000.0,392811000.0,97182000.0,5959000.0,204315000.0,85355000.0,0.0,7586156000.0,142429000.0,1005910000.0,1005910000.0,,,6437817000.0,4821850000.0,1615967000.0
2025-06-30,2371847000.0,2371847000.0,237812000.0,5928901000.0,5928901000.0,5800753000.0,5928901000.0,237812000.0,5928901000.0,5928901000.0,6025564000.0,96663000.0,5928901000.0,4721000.0,4721000.0,-4646665000.0,10568473000.0,2372000.0,2372000.0,1340124000.0,250484000.0,12008000.0,46129000.0,46129000.0,192347000.0,192347000.0,1089640000.0,639778000.0,639778000.0,45465000.0,45465000.0,404397000.0,393623000.0,10774000.0,,10774000.0,7365688000.0,475295000.0,228298000.0,246997000.0,-138176000.0,385173000.0,92401000.0,6533000.0,203474000.0,82765000.0,0.0,6890393000.0,142487000.0,747484000.0,747484000.0,,,6000422000.0,5070875000.0,929547000.0
2025-03-31,2359663165.0,2359663165.0,244596000.0,5424155000.0,5424155000.0,5315156000.0,5424155000.0,244596000.0,5424155000.0,5424155000.0,5518973000.0,94818000.0,5424155000.0,-2994000.0,-2994000.0,-4973392000.0,10398181000.0,2360000.0,2360000.0,1217944000.0,250501000.0,12489000.0,37835000.0,37835000.0,200177000.0,200177000.0,967443000.0,549633000.0,549633000.0,44419000.0,44419000.0,373391000.0,371061000.0,2330000.0,,2330000.0,6736917000.0,454318000.0,205301000.0,249017000.0,-129669000.0,378686000.0,89216000.0,7261000.0,209348000.0,72861000.0,0.0,6282599000.0,126705000.0,725205000.0,725205000.0,,,5430689000.0,4437225000.0,993464000.0
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43993000.0,43993000.0,,,,42243000.0,,,,,,-122999000.0,,85284000.0,7632000.0,,69721000.0,0.0,,,,,-10500000.0,585548000.0,,,
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31952000.0,,,,,,,,,,,,,,,,,-1500000.0,669610000.0,,,
