,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2026-01-31,847259927.0,847259927.0,1831800000.0,4790300000.0,1195200000.0,18779000000.0,3240100000.0,1195200000.0,319700000.0,14308400000.0,18279200000.0,14308400000.0,14308400000.0,0.0,,1355800000.0,12950900000.0,1700000.0,1700000.0,0.0,7976900000.0,4756400000.0,384500000.0,117400000.0,20500000.0,20500000.0,4234000000.0,263200000.0,3970800000.0,3220500000.0,40100000.0,40100000.0,556300000.0,56500000.0,499800000.0,499800000.0,309800000.0,,2314300000.0,1012200000.0,45700000.0,1302100000.0,228300000.0,228300000.0,1073800000.0,22285300000.0,15824700000.0,153900000.0,863000000.0,345900000.0,345900000.0,129600000.0,129600000.0,13113200000.0,2051000000.0,11062200000.0,1219100000.0,-1407600000.0,2626700000.0,284100000.0,2003800000.0,,338800000.0,6460600000.0,247200000.0,,1388000000.0,282400000.0,1105600000.0,2186600000.0,2186600000.0,-4500000.0,2191100000.0,2638800000.0,2638800000.0,72700000.0,2566100000.0
2025-01-31,866000000.0,866000000.0,3115500000.0,4343100000.0,-1271800000.0,17490800000.0,1093500000.0,-1271800000.0,279300000.0,13427000000.0,17361300000.0,13427000000.0,13427000000.0,400000.0,400000.0,-1109200000.0,14534100000.0,1700000.0,1700000.0,0.0,6777500000.0,4750700000.0,478200000.0,73400000.0,33800000.0,33800000.0,4165300000.0,231000000.0,3934300000.0,2026800000.0,22100000.0,22100000.0,177800000.0,48300000.0,129500000.0,129500000.0,302500000.0,11700000.0,1524400000.0,846600000.0,43500000.0,677800000.0,55600000.0,55600000.0,622200000.0,20204500000.0,17084200000.0,74800000.0,824700000.0,401200000.0,401200000.0,48200000.0,48200000.0,14698800000.0,3111900000.0,11586900000.0,1036500000.0,-1247000000.0,2283500000.0,246000000.0,1730900000.0,,306600000.0,3120300000.0,113900000.0,,1029700000.0,320700000.0,709000000.0,1028400000.0,1028400000.0,-2600000.0,1031000000.0,948300000.0,948300000.0,57200000.0,891100000.0
2024-01-31,865539796.0,865539796.0,3215100000.0,4401300000.0,-1110200000.0,18997300000.0,1248500000.0,-1110200000.0,235400000.0,14831400000.0,18890000000.0,14831400000.0,14831400000.0,1100000.0,1100000.0,-16700000.0,14845300000.0,1700000.0,1700000.0,0.0,6397100000.0,4582900000.0,213000000.0,56600000.0,58700000.0,58700000.0,4254600000.0,196000000.0,4058600000.0,1814200000.0,64900000.0,43200000.0,146700000.0,39400000.0,107300000.0,107300000.0,262700000.0,76500000.0,1263400000.0,834300000.0,41300000.0,429100000.0,17800000.0,17800000.0,411300000.0,21228500000.0,18165800000.0,56800000.0,850100000.0,311900000.0,311900000.0,45800000.0,45800000.0,15941600000.0,4354700000.0,11586900000.0,959600000.0,-1080800000.0,2040400000.0,203600000.0,1524400000.0,312400000.0,312400000.0,3062700000.0,125900000.0,,864400000.0,340600000.0,523800000.0,1121600000.0,1121600000.0,-2000000.0,1123600000.0,950800000.0,950800000.0,2600000.0,948200000.0
2023-01-31,856100000.0,856100000.0,3581100000.0,4737500000.0,-1491200000.0,20129300000.0,894400000.0,-1491200000.0,245400000.0,15637200000.0,19544900000.0,15637200000.0,15637200000.0,0.0,,1123500000.0,14512000000.0,1700000.0,1700000.0,0.0,6884900000.0,4498200000.0,296200000.0,28500000.0,64200000.0,64200000.0,4109300000.0,201600000.0,3907700000.0,2386700000.0,65200000.0,45200000.0,628200000.0,43800000.0,584400000.0,584400000.0,244500000.0,102000000.0,1346800000.0,762600000.0,22100000.0,584200000.0,118400000.0,118400000.0,465800000.0,22522100000.0,19241000000.0,58300000.0,763600000.0,465900000.0,465900000.0,36100000.0,36100000.0,17128400000.0,5541500000.0,11586900000.0,788700000.0,-958100000.0,1746800000.0,211300000.0,1229300000.0,306200000.0,0.0,3281100000.0,109600000.0,,1068300000.0,312000000.0,756300000.0,1192200000.0,1192200000.0,-2100000.0,1194300000.0,911000000.0,911000000.0,150700000.0,760300000.0
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,111003000.0,,,,,,,,,,,
