,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Inventory,Finished Goods,Work In Process,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2026-04-30,875553173.0,875553173.0,1117700000.0,5277200000.0,1490200000.0,23177100000.0,5187200000.0,1490200000.0,315900000.0,18215800000.0,23177100000.0,18215800000.0,18215800000.0,,,1336500000.0,16877500000.0,1800000.0,1800000.0,0.0,8728700000.0,6451900000.0,1013700000.0,119800000.0,95700000.0,95700000.0,5222700000.0,261400000.0,4961300000.0,2276800000.0,63700000.0,63700000.0,54500000.0,54500000.0,,,231500000.0,,1927100000.0,1024800000.0,39900000.0,902300000.0,192600000.0,192600000.0,709700000.0,26944500000.0,19480500000.0,203300000.0,835500000.0,319800000.0,319800000.0,140100000.0,140100000.0,16725600000.0,2842100000.0,13883500000.0,1256200000.0,-1467600000.0,2723800000.0,283700000.0,2095700000.0,344400000.0,7464000000.0,347800000.0,,1400900000.0,234400000.0,1166500000.0,1871700000.0,1871700000.0,,,3843600000.0,3843600000.0,,
2026-01-31,847259927.0,847259927.0,1831800000.0,4790300000.0,1195200000.0,18779000000.0,3240100000.0,1195200000.0,319700000.0,14308400000.0,18279200000.0,14308400000.0,14308400000.0,0.0,,1355800000.0,12950900000.0,1700000.0,1700000.0,0.0,7976900000.0,4756400000.0,384500000.0,117400000.0,20500000.0,20500000.0,4234000000.0,263200000.0,3970800000.0,3220500000.0,40100000.0,40100000.0,556300000.0,56500000.0,499800000.0,499800000.0,309800000.0,,2314300000.0,1012200000.0,45700000.0,1302100000.0,228300000.0,228300000.0,1073800000.0,22285300000.0,15824700000.0,153900000.0,863000000.0,345900000.0,345900000.0,129600000.0,129600000.0,13113200000.0,2051000000.0,11062200000.0,1219100000.0,-1407600000.0,2626700000.0,284100000.0,2003800000.0,338800000.0,6460600000.0,247200000.0,,1388000000.0,282400000.0,1105600000.0,2186600000.0,2186600000.0,-4500000.0,2191100000.0,2638800000.0,2638800000.0,72700000.0,2566100000.0
2025-10-31,848600000.0,848600000.0,1754400000.0,4777500000.0,699500000.0,18525500000.0,2775800000.0,699500000.0,308600000.0,14056600000.0,18026000000.0,14056600000.0,14056600000.0,400000.0,400000.0,1010500000.0,13044000000.0,1700000.0,1700000.0,,7522400000.0,4785700000.0,409600000.0,117800000.0,33900000.0,33900000.0,4224400000.0,255000000.0,3969400000.0,2736700000.0,32200000.0,32200000.0,553100000.0,53600000.0,499500000.0,499500000.0,252400000.0,15700000.0,1883300000.0,916000000.0,40100000.0,967300000.0,333600000.0,333600000.0,633700000.0,21579000000.0,16066500000.0,119600000.0,930700000.0,403500000.0,403500000.0,128400000.0,128400000.0,13357100000.0,2294900000.0,11062200000.0,1127200000.0,-1357500000.0,2484700000.0,272400000.0,1880300000.0,332000000.0,5512500000.0,237200000.0,,1014500000.0,249000000.0,765500000.0,1546300000.0,1546300000.0,,,2714500000.0,2714500000.0,,
2025-07-31,862100000.0,862100000.0,3242800000.0,4776300000.0,-193700000.0,17888900000.0,2113600000.0,-193700000.0,309100000.0,13421700000.0,17389600000.0,13421700000.0,13421700000.0,600000.0,600000.0,-840000000.0,14259400000.0,1700000.0,1700000.0,,7164600000.0,4765300000.0,426300000.0,79500000.0,33300000.0,33300000.0,4226200000.0,258300000.0,3967900000.0,2399300000.0,41300000.0,41300000.0,550100000.0,50800000.0,499300000.0,499300000.0,210800000.0,13900000.0,1583200000.0,881300000.0,48600000.0,701900000.0,91200000.0,91200000.0,610700000.0,20586300000.0,16073400000.0,106700000.0,800300000.0,409900000.0,409900000.0,73000000.0,73000000.0,13615400000.0,2553200000.0,11062200000.0,1068100000.0,-1308900000.0,2377000000.0,273600000.0,1781500000.0,321900000.0,4512900000.0,189700000.0,595500000.0,1051600000.0,313000000.0,738600000.0,1451700000.0,1451700000.0,,,1224400000.0,1224400000.0,,
2025-04-30,862200000.0,862200000.0,3346700000.0,4512000000.0,-576700000.0,17545300000.0,896200000.0,-576700000.0,279400000.0,13312700000.0,16290100000.0,13312700000.0,13312700000.0,-100000.0,-100000.0,-983100000.0,14294200000.0,1700000.0,1700000.0,,6711000000.0,3769600000.0,452300000.0,76500000.0,34200000.0,34200000.0,3206600000.0,229200000.0,2977400000.0,2941400000.0,44000000.0,31800000.0,1305400000.0,50200000.0,1255200000.0,1255200000.0,183700000.0,19100000.0,1389200000.0,748500000.0,24900000.0,640700000.0,78000000.0,78000000.0,562700000.0,20023700000.0,16186100000.0,70900000.0,750300000.0,405900000.0,405900000.0,48600000.0,48600000.0,13889400000.0,2827200000.0,11062200000.0,1021000000.0,-1272500000.0,2293500000.0,246300000.0,1731500000.0,315700000.0,3837600000.0,148100000.0,588200000.0,1071400000.0,332400000.0,739000000.0,1144000000.0,1144000000.0,,,885900000.0,885900000.0,,
2025-01-31,,,,,,,,,,,,,,400000.0,400000.0,,,,,0.0,,,,,,,,,,,,,,,129500000.0,129500000.0,,11700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2600000.0,1031000000.0,,,57200000.0,891100000.0
2024-10-31,,,,,,,,,,,,,,,-300000.0,,,,,,,,,,,,,,,,,,,,,,,1100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
