Company,Last Price,Predicted Price,Profit Percent
AMD,96.6500015258789,148.32617231068022,53.4673253688098
TSLA,280.5199890136719,401.10516358145014,42.98630375388373
INTC,19.979999542236328,28.265454182611734,41.46874289391514
AMZN,190.1999969482422,242.72320220264368,27.614724551596215
GOOGL,161.3000030517578,203.79649004708423,26.346240664167986
NVDA,111.61000061035156,137.58759808988592,23.275331365892846
ADBE,374.6300048828125,431.1540578119311,15.087967379121125
META,572.2100219726562,615.354547345527,7.53998072668018
AAPL,213.32000732421875,222.98654908439494,4.5314745116637365
MSFT,425.3999938964844,427.1840310420011,0.41937874262190106
