,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Current Deferred Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Machinery Furniture Equipment,Properties,Current Assets,Other Current Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2026-03-31,5023000000.0,5023000000.0,27784000000.0,45031000000.0,88207000000.0,156425000000.0,35272000000.0,88207000000.0,111394000000.0,154421000000.0,124989000000.0,13595000000.0,111394000000.0,-44000000.0,-44000000.0,45179000000.0,66259000000.0,66259000000.0,,80343000000.0,53458000000.0,10431000000.0,43027000000.0,43027000000.0,26885000000.0,,2004000000.0,2004000000.0,,2824000000.0,22057000000.0,14898000000.0,7159000000.0,,,7159000000.0,205332000000.0,143175000000.0,7049000000.0,8481000000.0,8481000000.0,8481000000.0,,23187000000.0,2722000000.0,20465000000.0,104458000000.0,-107896000000.0,212354000000.0,,,,62157000000.0,12876000000.0,12426000000.0,2504000000.0,9004000000.0,918000000.0,4066000000.0,4066000000.0,32789000000.0,15542000000.0,17247000000.0
2025-12-31,4994000000.0,4994000000.0,32320000000.0,46585000000.0,87597000000.0,160866000000.0,32113000000.0,87597000000.0,114281000000.0,158367000000.0,126360000000.0,12079000000.0,114281000000.0,113000000.0,113000000.0,48983000000.0,65185000000.0,65185000000.0,0.0,85069000000.0,53494000000.0,9408000000.0,44086000000.0,44086000000.0,31575000000.0,,2499000000.0,2499000000.0,2499000000.0,3990000000.0,25086000000.0,14600000000.0,10486000000.0,604000000.0,604000000.0,9882000000.0,211429000000.0,147741000000.0,7131000000.0,8512000000.0,8512000000.0,8512000000.0,,26684000000.0,2772000000.0,23912000000.0,105414000000.0,-106464000000.0,211878000000.0,34543000000.0,111940000000.0,65395000000.0,63688000000.0,10815000000.0,11618000000.0,2785000000.0,7840000000.0,993000000.0,3839000000.0,3839000000.0,37416000000.0,23151000000.0,14265000000.0
2025-09-30,4766000000.0,4766000000.0,35412000000.0,46553000000.0,79587000000.0,152929000000.0,19434000000.0,79587000000.0,106376000000.0,150433000000.0,116730000000.0,10354000000.0,106376000000.0,19000000.0,19000000.0,49602000000.0,56755000000.0,56755000000.0,,87784000000.0,55487000000.0,11430000000.0,44057000000.0,44057000000.0,32297000000.0,3200000000.0,2496000000.0,2496000000.0,,3756000000.0,22845000000.0,11752000000.0,11093000000.0,825000000.0,825000000.0,10268000000.0,204514000000.0,152783000000.0,12280000000.0,8667000000.0,572000000.0,572000000.0,8095000000.0,26789000000.0,2877000000.0,23912000000.0,105047000000.0,-105063000000.0,210110000000.0,,,,51731000000.0,6105000000.0,11489000000.0,3603000000.0,6751000000.0,1135000000.0,3202000000.0,3202000000.0,30935000000.0,19794000000.0,11141000000.0
2025-06-30,4377000000.0,4377000000.0,41114000000.0,50757000000.0,70914000000.0,148640000000.0,8409000000.0,70914000000.0,97883000000.0,141909000000.0,105751000000.0,7868000000.0,97883000000.0,65000000.0,65000000.0,45484000000.0,52334000000.0,52334000000.0,,86769000000.0,51803000000.0,7777000000.0,44026000000.0,44026000000.0,34966000000.0,3000000000.0,6731000000.0,6731000000.0,,4249000000.0,20986000000.0,9433000000.0,11553000000.0,887000000.0,887000000.0,10666000000.0,192520000000.0,149145000000.0,7283000000.0,5383000000.0,5383000000.0,5383000000.0,,26969000000.0,3057000000.0,23912000000.0,109510000000.0,-103572000000.0,213082000000.0,,,,43375000000.0,8432000000.0,11377000000.0,3699000000.0,6484000000.0,1194000000.0,2360000000.0,2360000000.0,21206000000.0,11563000000.0,9643000000.0
2025-03-31,4362000000.0,4362000000.0,41204000000.0,50151000000.0,71495000000.0,149907000000.0,9960000000.0,71495000000.0,99756000000.0,144667000000.0,106413000000.0,6657000000.0,99756000000.0,-486000000.0,-486000000.0,48322000000.0,51920000000.0,51920000000.0,,85829000000.0,53655000000.0,8744000000.0,44911000000.0,44911000000.0,32174000000.0,2700000000.0,5240000000.0,5240000000.0,,2652000000.0,21582000000.0,8813000000.0,12769000000.0,1873000000.0,1873000000.0,10896000000.0,192242000000.0,150108000000.0,7057000000.0,5027000000.0,5027000000.0,5027000000.0,,28261000000.0,3568000000.0,24693000000.0,109763000000.0,-103036000000.0,212799000000.0,,,,42134000000.0,5741000000.0,12281000000.0,3719000000.0,7240000000.0,1322000000.0,3064000000.0,3064000000.0,21048000000.0,12101000000.0,8947000000.0
2024-12-31,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,3729000000.0,,,,,1756000000.0,1756000000.0,,,,,,,,,,,,,,,50418000000.0,103150000000.0,56544000000.0,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,3200000000.0,,,,,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,,
