,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Other Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Leases,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial
2026-03-31,12116000000.0,12116000000.0,39438000000.0,90484000000.0,411528000000.0,556247000000.0,102565000000.0,411528000000.0,12983000000.0,478746000000.0,556247000000.0,478746000000.0,478746000000.0,-2180000000.0,-2180000000.0,384024000000.0,96902000000.0,96902000000.0,0.0,225173000000.0,113985000000.0,11044000000.0,12457000000.0,,,,90484000000.0,12983000000.0,77501000000.0,111188000000.0,,7162000000.0,7162000000.0,,,,,13947000000.0,90079000000.0,68691000000.0,21388000000.0,631000000.0,3905000000.0,3905000000.0,16852000000.0,703919000000.0,490166000000.0,17478000000.0,1995000000.0,1995000000.0,106946000000.0,106946000000.0,106946000000.0,67218000000.0,9444000000.0,57774000000.0,296529000000.0,-100180000000.0,396709000000.0,,,347937000000.0,,48772000000.0,,0.0,213753000000.0,23914000000.0,62999000000.0,62999000000.0,-962000000.0,63961000000.0,126840000000.0,88777000000.0,38063000000.0,22655000000.0,15408000000.0
2025-12-31,12088000000.0,12088000000.0,15839000000.0,59291000000.0,381885000000.0,461812000000.0,103293000000.0,381885000000.0,12744000000.0,415265000000.0,461812000000.0,415265000000.0,415265000000.0,-1916000000.0,-1916000000.0,324055000000.0,93126000000.0,93126000000.0,0.0,180016000000.0,77271000000.0,8449000000.0,9531000000.0,,,,59291000000.0,12744000000.0,46547000000.0,102745000000.0,,6578000000.0,6578000000.0,,,,,17546000000.0,78621000000.0,64948000000.0,13673000000.0,950000000.0,523000000.0,523000000.0,12200000000.0,595281000000.0,389243000000.0,16245000000.0,9113000000.0,9113000000.0,68687000000.0,68687000000.0,68687000000.0,33380000000.0,,33380000000.0,261818000000.0,-98485000000.0,360303000000.0,,,311955000000.0,,48348000000.0,,0.0,206038000000.0,16309000000.0,62886000000.0,62886000000.0,-924000000.0,63810000000.0,126843000000.0,96135000000.0,30708000000.0,,
2025-09-30,12077000000.0,12077000000.0,,33713000000.0,353598000000.0,408474000000.0,74397000000.0,353598000000.0,12106000000.0,386867000000.0,408474000000.0,386867000000.0,386867000000.0,-2054000000.0,-2054000000.0,297226000000.0,91695000000.0,91695000000.0,0.0,149602000000.0,50052000000.0,6267000000.0,10072000000.0,,,,33713000000.0,12106000000.0,21607000000.0,99550000000.0,10564000000.0,5542000000.0,5542000000.0,,,,,13944000000.0,69500000000.0,54399000000.0,15101000000.0,4004000000.0,551000000.0,551000000.0,10546000000.0,536469000000.0,362522000000.0,16811000000.0,10331000000.0,10331000000.0,63800000000.0,63800000000.0,63800000000.0,33269000000.0,,33269000000.0,238311000000.0,-93950000000.0,332261000000.0,,,286546000000.0,,45715000000.0,,0.0,173947000000.0,18303000000.0,57148000000.0,57148000000.0,-918000000.0,58066000000.0,98496000000.0,75406000000.0,23090000000.0,11040000000.0,12050000000.0
2025-06-30,12104000000.0,12104000000.0,2571000000.0,35559000000.0,330581000000.0,386523000000.0,78906000000.0,330581000000.0,11952000000.0,362916000000.0,386523000000.0,362916000000.0,362916000000.0,-2127000000.0,-2127000000.0,275760000000.0,89283000000.0,89283000000.0,0.0,139137000000.0,51827000000.0,6241000000.0,10027000000.0,,,,35559000000.0,11952000000.0,23607000000.0,87310000000.0,7099000000.0,4969000000.0,4969000000.0,,,,,12168000000.0,63074000000.0,50829000000.0,12245000000.0,3112000000.0,786000000.0,786000000.0,8347000000.0,502053000000.0,335837000000.0,14153000000.0,19289000000.0,19289000000.0,52574000000.0,52574000000.0,52574000000.0,32335000000.0,,32335000000.0,217486000000.0,-89349000000.0,306835000000.0,,,261342000000.0,,45493000000.0,,0.0,166216000000.0,16020000000.0,55048000000.0,55048000000.0,-878000000.0,55926000000.0,95148000000.0,74112000000.0,21036000000.0,9413000000.0,11623000000.0
2025-03-31,12155000000.0,12155000000.0,,23564000000.0,313094000000.0,357153000000.0,70398000000.0,313094000000.0,11678000000.0,345267000000.0,356153000000.0,345267000000.0,345267000000.0,-4086000000.0,-4086000000.0,262628000000.0,86725000000.0,86725000000.0,0.0,130107000000.0,38453000000.0,6116000000.0,9773000000.0,,,,22564000000.0,11678000000.0,10886000000.0,91654000000.0,6534000000.0,4908000000.0,4908000000.0,1000000000.0,,1000000000.0,1000000000.0,9984000000.0,69228000000.0,46682000000.0,22546000000.0,4889000000.0,9160000000.0,9160000000.0,8497000000.0,475374000000.0,313322000000.0,12950000000.0,18386000000.0,18386000000.0,51029000000.0,51029000000.0,51029000000.0,32173000000.0,,32173000000.0,198784000000.0,-83778000000.0,282562000000.0,,,237691000000.0,,44871000000.0,,0.0,162052000000.0,15724000000.0,51000000000.0,51000000000.0,-915000000.0,51915000000.0,95328000000.0,72064000000.0,23264000000.0,13319000000.0,9945000000.0
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6322000000.0,,,2887000000.0,2887000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,1721000000.0,1015000000.0,706000000.0,,,,,6851000000.0,,,2971000000.0,2971000000.0,,,,,,,,,,,,,,,,,,,,,,,,,12468000000.0,46009000000.0,,625000000.0,,80300000000.0,,,,,,,,,,,9209000000.0,10750000000.0
