,Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Current Provisions,Payables And Accrued Expenses,Current Accrued Expenses,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Non Current Deferred Taxes Assets,Non Current Accounts Receivable,Investments And Advances,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents
2026-04-30,24220525225.0,24220525225.0,12348000000.0,171460000000.0,203944000000.0,107111000000.0,171460000000.0,3878000000.0,195474000000.0,202944000000.0,195474000000.0,195474000000.0,137000000.0,137000000.0,185038000000.0,10275000000.0,24000000.0,24000000.0,0.0,64000000000.0,20116000000.0,737000000.0,4830000000.0,3201000000.0,1403000000.0,1798000000.0,11348000000.0,3878000000.0,7470000000.0,43884000000.0,2194000000.0,1714000000.0,1714000000.0,1000000000.0,,1000000000.0,1000000000.0,2948000000.0,36028000000.0,12293000000.0,23735000000.0,10638000000.0,13097000000.0,259474000000.0,108479000000.0,12733000000.0,,11707000000.0,11707000000.0,,43364000000.0,,43364000000.0,43364000000.0,24014000000.0,3120000000.0,20894000000.0,16661000000.0,,16661000000.0,,16661000000.0,,,,,150995000000.0,3916000000.0,,25797000000.0,9201000000.0,9949000000.0,6647000000.0,40710000000.0,40710000000.0,80572000000.0,67335000000.0,13237000000.0
2026-01-31,24304000000.0,24304000000.0,11040000000.0,133155000000.0,165761000000.0,93442000000.0,133155000000.0,2572000000.0,157293000000.0,164762000000.0,157293000000.0,157293000000.0,178000000.0,178000000.0,146973000000.0,10118000000.0,24000000.0,24000000.0,0.0,49510000000.0,17347000000.0,381000000.0,3958000000.0,2967000000.0,1193000000.0,1774000000.0,10041000000.0,2572000000.0,7469000000.0,32163000000.0,1373000000.0,1379000000.0,1379000000.0,999000000.0,,999000000.0,999000000.0,2807000000.0,25605000000.0,13124000000.0,12481000000.0,2669000000.0,9812000000.0,206803000000.0,81198000000.0,8301000000.0,,13258000000.0,13258000000.0,,22251000000.0,,22251000000.0,22251000000.0,24138000000.0,3306000000.0,20832000000.0,13250000000.0,-6587000000.0,19837000000.0,683000000.0,2867000000.0,12619000000.0,2891000000.0,777000000.0,0.0,125605000000.0,3180000000.0,,21403000000.0,8774000000.0,8822000000.0,3807000000.0,38466000000.0,38466000000.0,62556000000.0,51951000000.0,10605000000.0
2025-10-31,24305000000.0,24305000000.0,10481000000.0,111700000000.0,127364000000.0,90417000000.0,111700000000.0,2014000000.0,118897000000.0,126365000000.0,118897000000.0,118897000000.0,339000000.0,339000000.0,107908000000.0,10626000000.0,24000000.0,24000000.0,0.0,42251000000.0,16176000000.0,376000000.0,3532000000.0,2786000000.0,1165000000.0,1621000000.0,9482000000.0,2014000000.0,7468000000.0,26075000000.0,1196000000.0,1248000000.0,1248000000.0,999000000.0,,999000000.0,,2707000000.0,19925000000.0,8386000000.0,11539000000.0,2915000000.0,8624000000.0,161148000000.0,44656000000.0,632000000.0,1536000000.0,13674000000.0,13674000000.0,1369000000.0,8187000000.0,,8187000000.0,8187000000.0,7197000000.0,936000000.0,6261000000.0,12061000000.0,,12061000000.0,,12061000000.0,,,,,116492000000.0,2709000000.0,,19784000000.0,6840000000.0,8735000000.0,4209000000.0,33391000000.0,33391000000.0,60608000000.0,49122000000.0,11486000000.0
2025-07-31,24347000000.0,24347000000.0,10598000000.0,93621000000.0,108597000000.0,77962000000.0,93621000000.0,2132000000.0,100131000000.0,108597000000.0,100131000000.0,100131000000.0,170000000.0,170000000.0,88737000000.0,11200000000.0,24000000.0,24000000.0,0.0,40609000000.0,16352000000.0,243000000.0,3406000000.0,2406000000.0,1055000000.0,1351000000.0,10297000000.0,1831000000.0,8466000000.0,24257000000.0,202000000.0,980000000.0,980000000.0,301000000.0,301000000.0,,,2245000000.0,20529000000.0,9555000000.0,10974000000.0,1910000000.0,9064000000.0,140740000000.0,38521000000.0,272000000.0,2103000000.0,13570000000.0,13570000000.0,1042000000.0,3799000000.0,,3799000000.0,3799000000.0,6510000000.0,755000000.0,5755000000.0,11225000000.0,,11225000000.0,,11225000000.0,,,,,102219000000.0,2658000000.0,2800000000.0,14962000000.0,8708000000.0,4411000000.0,1843000000.0,27808000000.0,27808000000.0,53991000000.0,42352000000.0,11639000000.0
2025-04-30,24387557065.0,24387557065.0,10285000000.0,77576000000.0,92307000000.0,63393000000.0,77576000000.0,1821000000.0,83843000000.0,92307000000.0,83843000000.0,83843000000.0,186000000.0,186000000.0,72158000000.0,11475000000.0,24000000.0,24000000.0,0.0,41411000000.0,14869000000.0,177000000.0,2621000000.0,2086000000.0,1004000000.0,1082000000.0,9985000000.0,1521000000.0,8464000000.0,26542000000.0,228000000.0,1074000000.0,1074000000.0,300000000.0,300000000.0,,,2168000000.0,22772000000.0,9769000000.0,13003000000.0,5672000000.0,7331000000.0,125254000000.0,35319000000.0,240000000.0,2413000000.0,13318000000.0,13318000000.0,895000000.0,3240000000.0,,3240000000.0,3240000000.0,6267000000.0,769000000.0,5498000000.0,8946000000.0,,8946000000.0,,8946000000.0,,,,,89935000000.0,2779000000.0,1000000000.0,11333000000.0,3469000000.0,5339000000.0,2525000000.0,22132000000.0,22132000000.0,52691000000.0,37457000000.0,15234000000.0
2025-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288000000.0,,,,,,,,,,,,2087000000.0,,,750000000.0,,,,,,,,,-4401000000.0,,529000000.0,,7568000000.0,2076000000.0,511000000.0,0.0,,,,,,,,,,,,
2024-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273000000.0,,,,,,,,,,,,2387000000.0,,,568000000.0,,2237000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
