,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Gain On Sale Of Business,Other Special Charges,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation Amortization Depletion Income Statement,Depreciation And Amortization In Income Statement,Amortization,Amortization Of Intangibles Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue
2026-03-31,2937540.66363,0.139883,5229000000.0,21000000.0,21000000.0,3924000000.0,264000000.0,4360000000.0,5250000000.0,4986000000.0,-153000000.0,375000000.0,222000000.0,3905937540.66363,3924000000.0,8100000000.0,4359000000.0,4314000000.0,4302000000.0,0.91,0.91,3924000000.0,3924000000.0,3924000000.0,-42000000.0,3966000000.0,3966000000.0,645000000.0,4611000000.0,392000000.0,-13000000.0,-23000000.0,,,3000000.0,10000000.0,,10000000.0,384000000.0,44000000.0,-153000000.0,375000000.0,222000000.0,4372000000.0,3480000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,3472000000.0,1377000000.0,2095000000.0,2095000000.0,,7852000000.0,4620000000.0,12472000000.0,12472000000.0
2025-12-31,-39911546.252532,0.218096,3812000000.0,-183000000.0,-183000000.0,2271000000.0,236000000.0,4491000000.0,3629000000.0,3393000000.0,-198000000.0,431000000.0,233000000.0,2414088453.747468,2271000000.0,8960000000.0,1841000000.0,4313000000.0,4302000000.0,0.53,0.53,2271000000.0,2271000000.0,2271000000.0,-45000000.0,2316000000.0,2316000000.0,646000000.0,2962000000.0,298000000.0,6000000.0,-312000000.0,,697000000.0,2000000.0,0.0,1014000000.0,-7000000.0,475000000.0,129000000.0,-198000000.0,431000000.0,233000000.0,2862000000.0,4237000000.0,34000000.0,4000000.0,4000000.0,4000000.0,4000000.0,4199000000.0,1460000000.0,2739000000.0,2460000000.0,,7099000000.0,4723000000.0,11822000000.0,11822000000.0
2025-09-30,-30480516.375807,0.119531,5097000000.0,-255000000.0,-255000000.0,3696000000.0,268000000.0,4533000000.0,4842000000.0,4574000000.0,-206000000.0,391000000.0,185000000.0,3920519483.624193,3696000000.0,8443000000.0,3982000000.0,4313000000.0,4303000000.0,0.86,0.86,3696000000.0,3696000000.0,3696000000.0,13000000.0,3683000000.0,3683000000.0,500000000.0,4183000000.0,377000000.0,-12000000.0,-431000000.0,,-393000000.0,3000000.0,,,35000000.0,644000000.0,176000000.0,-206000000.0,391000000.0,185000000.0,4012000000.0,3646000000.0,24000000.0,4000000.0,4000000.0,4000000.0,4000000.0,3618000000.0,1523000000.0,2095000000.0,2095000000.0,,7658000000.0,4797000000.0,12455000000.0,12455000000.0
2025-06-30,39131984.98749,0.207048,5331000000.0,189000000.0,189000000.0,3810000000.0,279000000.0,4439000000.0,5520000000.0,5241000000.0,-257000000.0,445000000.0,188000000.0,3660131984.98749,3810000000.0,8216000000.0,4280000000.0,4315000000.0,4304000000.0,0.88,0.89,3810000000.0,3810000000.0,3810000000.0,7000000.0,3803000000.0,3803000000.0,993000000.0,4796000000.0,741000000.0,-9000000.0,-6000000.0,-28000000.0,,2000000.0,40000000.0,31000000.0,-95000000.0,561000000.0,195000000.0,-257000000.0,445000000.0,188000000.0,4319000000.0,3502000000.0,28000000.0,4000000.0,4000000.0,4000000.0,4000000.0,3470000000.0,1328000000.0,2142000000.0,2142000000.0,,7821000000.0,4714000000.0,12535000000.0,12535000000.0
2025-03-31,41109686.960808,0.177964,4480000000.0,231000000.0,231000000.0,3330000000.0,267000000.0,3899000000.0,4711000000.0,4444000000.0,-207000000.0,387000000.0,180000000.0,3140109686.960808,3330000000.0,7411000000.0,3659000000.0,4313000000.0,4302000000.0,0.77,0.77,3330000000.0,3330000000.0,3330000000.0,-5000000.0,3335000000.0,3335000000.0,722000000.0,4057000000.0,546000000.0,-36000000.0,211000000.0,,331000000.0,3000000.0,25000000.0,,92000000.0,351000000.0,20000000.0,-207000000.0,387000000.0,180000000.0,3718000000.0,3248000000.0,11000000.0,3000000.0,3000000.0,3000000.0,3000000.0,3234000000.0,1089000000.0,2145000000.0,2145000000.0,,6966000000.0,4163000000.0,11129000000.0,11129000000.0
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-871000000.0,,0.0,39000000.0,,,,,,,,,,,,,,,,,,79000000.0,,,,
