,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Liabilities,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Liabilities,Current Deferred Revenue,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Other Current Borrowings,Commercial Paper,Pensionand Other Post Retirement Benefit Plans Current,Payables And Accrued Expenses,Current Accrued Expenses,Interest Payable,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Receivables,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents
2026-04-30,4758000000.0,4758000000.0,45279000000.0,64907000000.0,-38443000000.0,152598000000.0,23351000000.0,-38443000000.0,,87691000000.0,150346000000.0,87691000000.0,87691000000.0,208000000.0,208000000.0,12166000000.0,75312000000.0,5000000.0,5000000.0,0.0,91467000000.0,72605000000.0,2469000000.0,1662000000.0,5819000000.0,4204000000.0,1615000000.0,62655000000.0,,62655000000.0,18862000000.0,1228000000.0,10038000000.0,10038000000.0,2252000000.0,,2252000000.0,2252000000.0,,1134000000.0,4210000000.0,656000000.0,656000000.0,3554000000.0,1217000000.0,2337000000.0,179158000000.0,136945000000.0,8023000000.0,126134000000.0,28333000000.0,97801000000.0,2788000000.0,,,,,,,,42213000000.0,369000000.0,1140000000.0,4328000000.0,1858000000.0,1801000000.0,669000000.0,16748000000.0,5918000000.0,10830000000.0,,,19628000000.0,19628000000.0
2026-01-31,4736000000.0,4736000000.0,51883000000.0,66057000000.0,-48231000000.0,145929000000.0,15203000000.0,-48231000000.0,,79872000000.0,143677000000.0,79872000000.0,79872000000.0,212000000.0,212000000.0,6520000000.0,73135000000.0,5000000.0,5000000.0,0.0,90031000000.0,73172000000.0,1810000000.0,1668000000.0,5889000000.0,3667000000.0,2222000000.0,63805000000.0,,63805000000.0,16859000000.0,682000000.0,9188000000.0,9188000000.0,2252000000.0,,2252000000.0,2252000000.0,,864000000.0,3873000000.0,673000000.0,673000000.0,3200000000.0,1088000000.0,2112000000.0,169903000000.0,137841000000.0,7139000000.0,128103000000.0,30302000000.0,97801000000.0,2599000000.0,,,,,,,,32062000000.0,289000000.0,641000000.0,2962000000.0,842000000.0,1544000000.0,576000000.0,13996000000.0,5536000000.0,8460000000.0,,,14174000000.0,14174000000.0
2025-10-31,4741000000.0,4741000000.0,48958000000.0,65136000000.0,-48782000000.0,146428000000.0,13059000000.0,-48782000000.0,0.0,81292000000.0,143276000000.0,81292000000.0,81292000000.0,218000000.0,218000000.0,9761000000.0,71308000000.0,5000000.0,5000000.0,0.0,89800000000.0,71286000000.0,1423000000.0,1628000000.0,6251000000.0,3547000000.0,2704000000.0,61984000000.0,0.0,61984000000.0,18514000000.0,663000000.0,9469000000.0,9469000000.0,3152000000.0,0.0,3152000000.0,3152000000.0,,2129000000.0,3101000000.0,620000000.0,620000000.0,2481000000.0,921000000.0,1560000000.0,171092000000.0,139519000000.0,6915000000.0,130074000000.0,32273000000.0,97801000000.0,2530000000.0,-4896000000.0,7426000000.0,78000000.0,5656000000.0,1488000000.0,204000000.0,0.0,31573000000.0,457000000.0,518000000.0,2270000000.0,682000000.0,1280000000.0,308000000.0,12150000000.0,5005000000.0,7145000000.0,-74000000.0,7219000000.0,16178000000.0,16178000000.0
2025-07-31,4722000000.0,4722000000.0,53501000000.0,64229000000.0,-58868000000.0,137496000000.0,8294000000.0,-58868000000.0,10000000.0,73277000000.0,136100000000.0,73277000000.0,73277000000.0,221000000.0,221000000.0,4040000000.0,69011000000.0,5000000.0,5000000.0,0.0,92344000000.0,75640000000.0,1410000000.0,3817000000.0,7583000000.0,4031000000.0,3552000000.0,62830000000.0,7000000.0,62823000000.0,16704000000.0,795000000.0,10305000000.0,10305000000.0,1399000000.0,3000000.0,1396000000.0,900000000.0,496000000.0,1719000000.0,2486000000.0,644000000.0,644000000.0,1842000000.0,410000000.0,1432000000.0,165621000000.0,140623000000.0,6027000000.0,132145000000.0,34344000000.0,97801000000.0,2451000000.0,,,,,,,,24998000000.0,656000000.0,793000000.0,2180000000.0,477000000.0,1349000000.0,354000000.0,10651000000.0,4157000000.0,6494000000.0,,,10718000000.0,10718000000.0
2025-04-30,4703000000.0,4703000000.0,57799000000.0,67282000000.0,-64608000000.0,136857000000.0,1584000000.0,-64608000000.0,11000000.0,69586000000.0,131330000000.0,69586000000.0,69586000000.0,206000000.0,206000000.0,2686000000.0,66689000000.0,5000000.0,5000000.0,0.0,95044000000.0,74447000000.0,1445000000.0,3732000000.0,7519000000.0,4154000000.0,3365000000.0,61751000000.0,7000000.0,61744000000.0,20597000000.0,992000000.0,10303000000.0,10303000000.0,5531000000.0,4000000.0,5527000000.0,1650000000.0,3877000000.0,1266000000.0,2505000000.0,562000000.0,562000000.0,1943000000.0,646000000.0,1297000000.0,164630000000.0,142449000000.0,5793000000.0,134194000000.0,36393000000.0,97801000000.0,2462000000.0,,,,,,,,22181000000.0,959000000.0,936000000.0,2017000000.0,500000000.0,1119000000.0,398000000.0,8797000000.0,3234000000.0,5563000000.0,,,9472000000.0,9472000000.0
2025-01-31,,,,,,,,,22000000.0,,,,,,,,,,,,,,,,,,,,11000000.0,,,,,,,11000000.0,,,3992000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-31,,,,,,,,,39000000.0,,,,,,,,,,,,,,,,,,,,13000000.0,,,,,,,26000000.0,,,,,,,,,,,,,,,,,,-4504000000.0,7025000000.0,57000000.0,5246000000.0,1518000000.0,204000000.0,0.0,,,,,,,,,,,-101000000.0,4517000000.0,,
