Price,Close,High,Low,Open,Volume
Ticker,CI,CI,CI,CI,CI
Date,,,,,
1982-03-31,2.1677169799804688,2.1677169799804688,2.0743703200302246,2.1210436500053467,1474200
1982-04-01,2.1677169799804688,2.1677169799804688,2.0743703200302246,2.1210436500053467,1474200
1982-04-02,2.2403202056884766,2.2610640102103994,2.178088970167361,2.2195764011665533,1710900
1982-04-05,2.26106333732605,2.281806957630092,2.2403195389774067,2.26106333732605,1604700
1982-04-06,2.250692367553711,2.250692367553711,2.219576569390206,2.2351344684719585,1361700
1982-04-07,2.26106333732605,2.276620874509481,2.2455054440534172,2.26106333732605,1206000
1982-04-08,2.2818071842193604,2.2973650790369313,2.2455056670378526,2.271435194992774,1188000
1982-04-12,2.250692367553711,2.2921796236526055,2.2455062824966823,2.2714358175584914,805500
1982-04-13,2.2714357376098633,2.2766216444396945,2.2455062034607063,2.2610641019948607,1282500
1982-04-14,2.26106333732605,2.26624906435746,2.2455054440534172,2.2558774322500392,207000
1982-04-15,2.255878210067749,2.2610641169318395,2.2299483196579732,2.2455062182949064,331200
1982-04-16,2.255878210067749,2.2714357526153583,2.2455062182949064,2.2610641169318395,576900
1982-04-19,2.26106333732605,2.281806957630092,2.2558774322500392,2.2714349694334706,713700
1982-04-20,2.255878210067749,2.266249845751268,2.2455062182949064,2.255878210067749,508500
1982-04-21,2.229948043823242,2.2506920248029885,2.229948043823242,2.240320034313115,254700
1982-04-22,2.2351343631744385,2.250692261523256,2.224762371593674,2.2403202699424916,576000
1982-04-23,2.126230478286743,2.126230478286743,2.1106729309684753,2.1210447478771313,3060900
1982-04-26,2.079557418823242,2.1262307795704563,2.053627872877424,2.089929237201569,3427200
1982-04-27,2.043254852294922,2.079556376468062,2.0380689457051377,2.058812750108926,2219400
1982-04-28,2.0328831672668457,2.0639989648563715,2.0328831672668457,2.0484410660616086,542700
1982-04-29,2.0225117206573486,2.058813072469759,2.0225117206573486,2.04325517221976,423900
1982-04-30,1.996581792831421,2.012139692810812,1.9913958855198497,2.0017678781876693,2470500
1982-05-03,1.9758373498916626,1.9965807906814517,1.9654653624298866,1.9810232546002569,1687500
1982-05-04,1.9810224771499634,1.9810224771499634,1.9706506718031798,1.9758365744765716,1632600
1982-05-05,1.9758373498916626,1.9810232546002569,1.9602794577212923,1.9706514451830686,587700
1982-05-06,1.9810224771499634,1.9913941044522292,1.9602786884118781,1.9758365744765716,1586700
1982-05-07,1.9499083757400513,1.9810241745300607,1.939536561506495,1.9602803680182779,2665800
1982-05-10,1.9550933837890625,1.9758371788725424,1.9447213972250366,1.9602792880487894,1100700
1982-05-11,1.996581792831421,2.0017678781876693,1.9706524343182412,1.9862099782082783,941400
1982-05-12,1.898048996925354,2.001767666312827,1.898048996925354,1.9499082425967615,2474100
1982-05-13,1.7061686515808105,1.7372844284962328,1.6906111192121902,1.7165404585229211,15327900
1982-05-14,1.7528443336486816,1.7580302441397808,1.732100691684284,1.7476586012023685,4312800
1982-05-17,1.7528443336486816,1.7632161546308802,1.742472690711269,1.7528443336486814,1360800
1982-05-18,1.7424719333648682,1.7528435717943613,1.7372860251277673,1.7476578416019692,1487700
1982-05-19,1.711355209350586,1.7320990092102841,1.7061693038968146,1.7217271983027418,2322900
1982-05-20,1.7009835243225098,1.7061692515726334,1.6750538198042428,1.690611713733046,2007900
1982-05-21,1.6750544309616089,1.6906123305668395,1.6698683457300834,1.6802403381484614,1656000
1982-05-24,1.6335670948028564,1.6750545328663067,1.6283811873005107,1.6543109028569234,3863700
1982-05-25,1.6387525796890259,1.6646821105138154,1.6387525796890259,1.6543104762285374,2444400
1982-05-26,1.6128230094909668,1.6387527205898444,1.6024513743139301,1.6231948227126567,2028600
1982-05-27,1.6076372861862183,1.6128230147693818,1.592079388258113,1.602451379558401,1105200
1982-05-28,1.592078685760498,1.6128223031187383,1.586892781420938,1.6024506724841932,1545300
1982-06-01,1.5765212774276733,1.5868932673272693,1.5609637376898533,1.5765212774276733,1088100
1982-06-02,1.5868936777114868,1.5972656702933685,1.5765216851296053,1.5868936777114868,1796400
1982-06-03,1.5817078351974487,1.5920796501592733,1.5557782977928878,1.5765217496718535,1359000
1982-06-04,1.5246621370315552,1.5817074619495224,1.5142905025618898,1.5505920244066032,1927800
